#Table1
ra,dec,u,g,r,i,z
132.70084122671,11.3463702422602,22.24541,22.25572,22.19151,22.2346,21.73746
132.685465621984,11.4111516901245,23.21785,22.42828,21.51829,21.04762,21.16535
132.712332023347,11.3199675608264,22.41008,21.52689,20.99232,20.73096,20.8099
132.716314264767,11.3131522090841,22.75649,22.41479,21.70367,21.33471,20.34768
132.700052442849,11.3691239153856,25.5468,22.66368,21.09193,19.64296,18.93775
132.705662534741,11.3506160895061,23.71155,22.68988,21.62282,21.03731,20.74119
132.688389285881,11.4129300873342,24.11719,21.51827,20.49943,20.14639,19.80536
132.714979117302,11.3237056991334,22.47554,21.49573,20.26897,19.75876,19.43035
132.69107624765,11.4063801863559,26.05656,22.73011,21.72692,20.51492,20.15777
132.720065209944,11.3100052239178,21.84898,21.71031,20.64717,20.26733,19.78088
132.695654078376,11.3938871029769,22.28571,22.01587,20.98823,20.5121,20.14874
132.689916247683,11.4149447261187,23.9405,21.5623,20.69208,20.27877,19.98003
132.704120951101,11.3656713399129,24.52017,22.08526,20.68828,19.983,19.76141
132.703911369876,11.3831419391705,22.96203,21.65899,21.38347,21.12921,20.96516
132.690888589299,11.4395244748272,23.62207,22.90253,21.25123,20.23414,19.74807
132.726224845005,11.3190942250837,23.10397,22.46169,22.62204,22.13914,21.31167
132.695633970137,11.4260156016283,22.648,22.10942,22.77664,21.16517,23.09042
132.690168882037,11.4466563756796,22.42818,21.64233,20.77475,20.53644,21.39481
132.697991462082,11.4224091276581,23.23331,22.62166,21.86486,21.7761,21.14636
132.692258392847,11.445017982495,23.19729,20.83413,19.83831,19.474,19.31408
132.70133388103,11.4134931326298,24.17716,22.45628,20.84662,19.74013,19.11928
132.721541128176,11.3490827791636,23.56371,21.88596,20.64123,20.1986,19.78037
132.731960079104,11.3123668407786,20.30727,19.58928,19.95722,21.9158,27.74447
132.732595224348,11.3179145707509,23.56343,21.99717,20.54872,19.99612,19.58974
132.737571088498,11.3032537712558,24.40404,22.75107,21.84822,22.07638,20.90849
132.708830339565,11.4042134754137,23.1573,22.75252,21.8816,21.48823,21.08978
132.724083495122,11.3567033854744,24.2551,22.73781,21.79975,21.41679,21.3346
132.723001371388,11.3673775126533,25.41058,23.71279,22.14039,20.84909,20.31215
132.719940108037,11.3687263085226,23.8186,23.79515,22.01401,20.97194,20.08776
132.721160301641,11.3671755127996,23.83981,22.49257,21.59473,21.15343,22.24774
132.722653500484,11.3664188354194,23.56114,23.10008,21.95532,21.47616,22.55395
132.724511137047,11.3646952557875,26.06393,22.20425,21.30113,20.73456,20.51839
132.709378531162,11.4208231857026,22.10251,20.38924,19.75828,19.47176,19.2949
132.70286033195,11.4432028685755,23.39096,22.62062,21.32143,19.81983,18.91359
132.728465524559,11.3522207826124,23.70001,22.44147,20.87848,19.75924,19.12696
132.729605822525,11.3529806905776,24.10152,21.3898,20.43691,20.14224,20.02496
132.743054708372,11.3080615074566,24.08484,21.48879,20.5796,20.24442,19.95441
132.72737648823,11.3702616405097,22.40784,21.97445,20.75183,20.29449,19.72553
132.726781011162,11.378691402054,22.21039,21.65699,20.92417,20.75287,20.22734
132.725921816375,11.3788863819922,25.10802,23.04585,22.09902,21.51823,20.92516
132.742312497596,11.323916145162,24.71226,22.96881,21.58778,20.10776,19.36709
132.714033558848,11.4259124567483,22.91291,21.21457,20.10633,19.7151,19.47684
132.730080444389,11.3728274385011,24.23084,21.9324,21.42475,21.3258,20.72632
132.742313588427,11.3350303767587,23.31765,22.30583,21.27472,20.81309,20.35573
132.715823348464,11.4311019665378,25.74193,22.58261,21.08139,19.9213,19.30309
132.741779719407,11.3412159488406,23.44486,22.07431,20.48193,19.86217,19.26518
132.743311645398,11.3377447463416,22.53166,21.47354,20.18951,19.58929,19.21325
132.722282984498,11.4129541902241,26.28238,22.79843,21.12153,20.30572,19.82052
132.739378741986,11.3589068870503,22.22839,22.37936,21.85569,21.52603,20.94008
132.743144932053,11.3490800243228,22.95208,22.12831,21.59696,21.27934,21.50465
132.749383365568,11.329366819216,24.51907,22.19519,20.36512,19.72865,19.31629
132.739014822118,11.373363113971,22.75048,21.57455,20.02919,19.41732,19.02979
132.741916361888,11.3632118508845,23.02634,22.4691,23.04169,22.55003,22.45435
